coffee_shop,is_closed,review_count,rating,transactions,price,address,display_phone,zip,locality,opa_owner,licensetype,lat,lng
TALULA'S DAILY,False,362.0,4.5,[],$$,,(215) 592-6555,,,,,,
KOPI LATTE,False,56.0,4.5,"['pickup', 'delivery']",$,,(267) 551-1530,,,,,,
WINKEL,False,194.0,4.5,['delivery'],$$,,(267) 639-3453,,,,,,
THE SATELLITE CAFE,False,158.0,3.5,['delivery'],$,,(215) 729-1211,,,,,,
BLACK SEED CAFE,False,22.0,4.0,[],,2400 FEDERAL ST,(215) 544-1235,19146-2432,,MCKENDRICK RICARDO L JR,Food Preparing and Serving,39.938150165305046,-75.18363183147781
GRYPHON CAFE,False,32.0,4.0,['delivery'],$$,,(215) 425-3055,,,,,,
ESSEN BAKERY,False,101.0,5.0,['delivery'],$,,(215) 271-2299,,,,,,
GREEN LINE CAFE - POWELTON VILLAGE,False,72.0,4.0,['delivery'],$,,(215) 382-2143,,,,,,
BLACK & BREW,False,265.0,4.0,"['pickup', 'delivery']",$,,(267) 639-6070,,,,,,
WHOLE AND GROUNDED CAFE,False,6.0,4.5,[],,,(856) 537-7313,,,,,,
VALERIO COFFEE ROASTERS,False,25.0,3.5,[],$,,(267) 792-3700,,,,,,
ANTHONY'S ITALIAN COFFEE HOUSE AND CHOCOLATE HOUSE,False,175.0,4.0,"['pickup', 'delivery']",$$,,(215) 627-2586,,,,,,
RYBREAD,False,429.0,4.0,"['pickup', 'delivery']",$,,(215) 769-0603,,"Philadelphia, PA 19130",,,,
THE GREEN LINE CAFE,False,195.0,3.5,['delivery'],$,,(215) 222-3431,,,,,,
RAY'S CAFÉ & TEAHOUSE,False,173.0,4.5,"['pickup', 'delivery']",$$,,(215) 922-5122,,,,,,
AVRIL 50,False,53.0,4.5,[],$$,3406 SANSOM ST,(215) 222-6108,19104-3404,,3406 SANSOM ST PARTNERS,"Food Establishment, Retail Permanent Location",39.953470706714775,-75.19251413299428
LUNA CAFÉ,False,35.0,4.0,['delivery'],$$,,(267) 703-8807,,,,,,
COFFEE & CREAM,False,52.0,4.5,"['pickup', 'delivery']",$,,(856) 494-4248,,,,,,
COMMON GROUNDS COFFEEHOUSE,False,35.0,5.0,['delivery'],$,,(856) 854-0088,,,,,,
NESPRESSO BOUTIQUE AT BLOOMINGDALES,False,4.0,5.0,[],,,(800) 562-1465,,,,,,
SAXBYS 1800,False,10.0,3.5,[],,,(267) 886-8215,,,,,,
MALELANI  CAFE,False,134.0,4.5,"['pickup', 'delivery']",$,,(267) 766-2396,,,,,,
FIVE POINTS COFFEE,False,60.0,4.5,['delivery'],$,,(484) 466-2401,,,,,,
ARTISAN BOULANGER PATISSIER,False,188.0,4.5,[],$,1646 S 12TH ST,(215) 271-4688,19148-1002,,33RD STREET GARAGE COMPAN,Food Preparing and Serving,39.92891741578496,-75.16513248947594
MAMMOTH COFFEE,False,30.0,4.0,"['pickup', 'delivery']",$,,(215) 733-0102,,"Philadelphia, PA 19123",,,,
THE PHARMACY,False,24.0,2.5,"['pickup', 'delivery']",$,,(267) 994-8666,,,,,,
DOLCE & CAFFÈ,False,99.0,4.5,"['pickup', 'delivery']",$,,(215) 627-1130,,,,,,
WALNUT STREET CAFE,False,220.0,3.5,"['pickup', 'delivery']",$$,,(215) 867-8067,,"Philadelphia, PA 19104",,,,
CAFE OLÉ,False,365.0,4.0,"['pickup', 'delivery']",$,,(215) 627-2140,,,,,,
